INSERT INTO suppliers (name, product_id) VALUES
('ООО "Электро-Импорт"', 1),
('Apple Distribution International', 1),
('ООО "Мобильные технологии"', 2),
('Lenovo Global', 2),
('Sony Corporation', 3),
('Яндекс.Маркет', 4),
('Samsung Electronics', 5),
('Logitech International', 6),
('Redragon', 7),
('LG Electronics', 8),
('Seagate Technology', 9),
('Baseus', 10),
('Samsung Electronics', 11),
('LG Electronics', 12),
('Xiaomi', 13),
('Robert Bosch GmbH', 14),
('KARCHER', 15),
('Philips', 16),
('DeLonghi', 17),
('Roborock', 18),
('Stadler Form', 19),
('Dyson', 20),
('Nike', 21),
('Adidas', 22),
('Levi Strauss & Co.', 23),
('PUMA', 24),
('Zara', 25),
('Guess', 26),
('STANCE', 27),
('Converse', 28),
('ECCO', 29),
('Herschel Supply Co.', 30),
('ООО "Мебельный мир"', 31),
('IKEA', 32),
('ООО "Элегия"', 33),
('IKEA', 34),
('ООО "Книжный стеллаж"', 35),
('ООО "Мешок"', 36),
('ООО "Пуфик"', 37),
('IKEA', 38),
('ООО "Вешалка"', 39),
('ООО "Молочная ферма"', 40),
('ООО "Хлебозавод №1"', 41),
('ООО "Сыровар"', 42),
('Птицефабрика №1', 43),
('ООО "Маслодел"', 44),
('ООО "Сибирские пельмени"', 45),
('ООО "Гречка-Трейд"', 46),
('ООО "Чайная империя"', 47),
('ООО "Кофе-Сервис"', 48),
('ООО "Печенье-Юбилей"', 49),
('Jetem', 50),
('ООО "Любимое дитя"', 51),
('Huggies', 52),
('ООО "ФрутоНяня"', 53),
('LEGO Group', 54),
('Mattel', 55),
('Novatrack', 56),
('Chicco', 57),
('ООО "Пазл-Мастер"', 58),
('Hasbro', 59),
('Procter & Gamble', 60),
('Procter & Gamble', 61),
('Unilever', 62),
('LOreal', 63),
('Maybelline', 64),
('Vivienne Sabo', 65),
('Gillette', 66),
('Unilever', 67),
('Johnson & Johnson', 68),
('Unilever', 69),
('ООО "СпортИнвентарь"', 70),
('ООО "Йога-Маркет"', 71),
('Spalding', 72),
('ООО "Аква-Стиль"', 73),
('ООО "Эспандер"', 74),
('Seba', 75),
('TechTeam', 76),
('INTEX', 77),
('Nordic', 78),
('Tramp', 79),
('ООО "Автомасла-Трейд"', 80),
('ООО "Автоаксессуары"', 81),
('ООО "Авто-Клининг"', 82),
('ООО "Автоинструмент"', 83),
('70mai', 84),
('ООО "Автосумки"', 85),
('ООО "Автозаряд"', 86),
('ООО "Авточехлы"', 87),
('ООО "Арома-Авто"', 88),
('ООО "ХимАвто"', 89),
('Mars Incorporated', 90),
('ООО "Зоотовары-Опт"', 91),
('ООО "Древесный мир"', 92),
('ООО "Когтеточка"', 93),
('ООО "Игрушки для кошек"', 94),
('Flexi', 95),
('ООО "Миски-Опт"', 96),
('Mars Incorporated', 97),
('ООО "Витамины для собак"', 98),
('ООО "Шлейка-Сервис"', 99),
('ООО "Груминг-Про"', 100);
