INSERT INTO prices (product_id, price, created_at) VALUES
(1, 89990.00, '2024-12-01'),
(1, 79990.00, '2025-01-15'),
(2, 99990.00, '2024-11-10'),
(2, 89990.00, '2025-01-15'),
(3, 27990.00, '2024-12-20'),
(3, 24990.00, '2025-01-15'),
(4, 13990.00, '2024-10-05'),
(4, 11990.00, '2025-01-15'),
(5, 49990.00, '2024-11-15'),
(5, 45990.00, '2025-01-15'),
(6, 5990.00, '2024-12-10'),
(6, 4990.00, '2025-01-15'),
(7, 4490.00, '2024-09-20'),
(7, 3990.00, '2025-01-15'),
(8, 29990.00, '2024-11-25'),
(8, 27990.00, '2025-01-15'),
(9, 6990.00, '2024-10-30'),
(9, 6490.00, '2025-01-15'),
(10, 3490.00, '2024-12-05'),
(10, 2990.00, '2025-01-15'),
(11, 54990.00, '2024-11-01'),
(11, 48990.00, '2025-01-15'),
(12, 42990.00, '2024-10-15'),
(12, 37990.00, '2025-01-15'),
(13, 8990.00, '2024-12-18'),
(13, 7990.00, '2025-01-15'),
(14, 2990.00, '2024-11-28'),
(14, 2490.00, '2025-01-15'),
(15, 6990.00, '2024-09-10'),
(15, 5990.00, '2025-01-15'),
(16, 1990.00, '2024-12-01'),
(16, 1890.00, '2025-01-15'),
(17, 27990.00, '2024-10-20'),
(17, 24990.00, '2025-01-15'),
(18, 49990.00, '2024-11-12'),
(18, 45990.00, '2025-01-15'),
(19, 3490.00, '2024-12-22'),
(19, 2990.00, '2025-01-15'),
(20, 32990.00, '2024-09-15'),
(20, 29990.00, '2025-01-15'),
(21, 9990.00, '2024-11-18'),
(21, 8990.00, '2025-01-15'),
(22, 2990.00, '2024-12-08'),
(22, 2490.00, '2025-01-15'),
(23, 6990.00, '2024-10-25'),
(23, 5990.00, '2025-01-15'),
(24, 7990.00, '2024-11-05'),
(24, 6990.00, '2025-01-15'),
(25, 4490.00, '2024-12-14'),
(25, 3990.00, '2025-01-15'),
(26, 1690.00, '2024-09-28'),
(26, 1490.00, '2025-01-15'),
(27, 590.00, '2024-11-22'),
(27, 490.00, '2025-01-15'),
(28, 5990.00, '2024-10-08'),
(28, 4990.00, '2025-01-15'),
(29, 8990.00, '2024-12-16'),
(29, 7990.00, '2025-01-15'),
(30, 3990.00, '2024-11-30'),
(30, 3490.00, '2025-01-15'),
(31, 49990.00, '2024-10-12'),
(31, 45990.00, '2025-01-15'),
(32, 8990.00, '2024-12-03'),
(32, 7990.00, '2025-01-15'),
(33, 31990.00, '2024-11-08'),
(33, 28990.00, '2025-01-15'),
(34, 20990.00, '2024-09-25'),
(34, 18990.00, '2025-01-15'),
(35, 6990.00, '2024-10-18'),
(35, 5990.00, '2025-01-15'),
(36, 4490.00, '2024-12-12'),
(36, 3990.00, '2025-01-15'),
(37, 3490.00, '2024-11-02'),
